token_address,chain,token_name,total_holders,total_supply,total_circulating_supply,howmany_holders_exceeding_5_percent_circulating,total_top_10_balance,top10_percentage_of_total_supply,top10_percentage_of_circulating_supply,top_10_less_than_70_percent_of_total,top_10_less_than_70_percent_of_circulating,owner_exceeds_5_percent_circulating,creator_exceeds_5_percent_circulating,owner_is_creator
0x002127Ec60f4b0F75F7AE20565D1d0cd99993dD3,bsc,ZTU COIN,36,8000000.0,8000000.000000001,2,7951737.0681090485,99.3967133513631,99.3967133513631,False,False,True,True,True
0x002A029d13f423227A24641CD5Fec448A52FEa32,bsc,Yarakat,118,13000000.0,13000000.000000002,3,12098573.738648873,93.06595183576056,93.06595183576056,False,False,True,True,True
0x0079C34BaDa93B2ff613913Cde64E53aE6168fBa,bsc,Ninja Shiba,21,1000000000000000.0,594909465653197.8,0,188678181404376.22,18.867818140437624,31.71544449998146,True,True,True,True,True
0x007C5Ade505C1455a072207b0C5b9CF3Ac79B251,bsc,Battle Saga,30,10000000.0,10000000.0,0,9993139.411271771,99.93139411271771,99.93139411271771,False,False,True,True,True
0x008B19CF90896BB20c4619c59Ef4c2bC55B7674e,bsc,YTOFU,37,99999.99999999999,99999.99999999999,4,87545.92830971946,87.54592830971947,87.54592830971947,False,False,,,True
0x00a6751A376f076779dA4EE9541551b3343939dc,bsc,TERA REBOOT,31,780000000.0,780000000.0000002,4,703754235.3199934,90.22490196410172,90.22490196410168,False,False,True,True,True
0x00c28144c95fBFA610415337dF0579FeB4860301,bsc,Baby Cat Inu,13,1000000000000000.0,986421071264628.9,0,972842081183814.4,97.28420811838144,98.6234083520331,False,False,True,True,True
0x00e6D2A995c7e374b360fBfd82e3f0D1cD8Ff621,bsc,Pump,29,20999999999999.996,21000000000000.004,1,20999973239625.29,99.99987256964424,99.99987256964422,False,False,,,True
0x011728ffc1F7a0342c3c66c8aaEd28E442750FF2,bsc,GIGOSWAP,2,1000000.0,1000000.0000000015,0,1000000.000000003,100.00000000000031,100.00000000000016,False,False,True,True,True
0x012EB702253b59E7ea8559830D6e5406cb4D84CC,bsc,min,4,1000000000.0,1000000000.0,1,1000000000.0,100.0,100.0,False,False,True,True,True
0x013AbE3F0A299ab7d9037a1f9357a3B25037bC38,bsc,Defina Finance,35,1000000.0,1000000.0,0,995551.76244,99.555176244,99.555176244,False,False,True,True,True
0x01451cb0590F1B6eb878C3d100CdE29DaE804C5B,bsc,AtromG8,2,1000000.0,1000000.000000002,0,1000000.000000004,100.0000000000004,100.0000000000002,False,False,True,True,True
0x01775cFEF77271Db73F6EaA70A42AD4012D1fE64,bsc,MakiSwap,2,1000000.0,967913.198519186,0,935826.397038372,93.5826397038372,96.68495051726708,False,False,True,True,True
0x018e70a09A6bC872558c59AF7F71eED187264614,bsc,RedPanda Earth,23,10000000.0,10000000.0,0,9989345.814265,99.89345814265,99.89345814265,False,False,True,True,True
0x019b75AA3A00cc6f1d4718CD6D4E9113a7b287b7,bsc,Greed Token,64,1000000000000000.0,536924404592738.2,1,69823673742041.58,6.982367374204158,13.00437699325726,True,True,,,True
0x01Df5ea271D66D00EFb3Af9dAF2e34B7d453CB7d,bsc,cyberdoge,42,6561000000000.0,6561000000000.0,6,5500549566936.371,83.83706091962155,83.83706091962155,False,False,False,False,True
0x01dF71e9e09573bB8DdCB8dDd8cec74ed31A3deB,bsc,Go Invest Token,98,10000000000.0,9992450870.961933,1,9902078498.775278,99.02078498775278,99.09559353001897,False,False,,False,False
0x02b8F1759c1A37c8806C5f171C5D92547B63d15D,bsc,SpiritSwap,20,1000000.0,1000000.0,0,998555.619644835,99.8555619644835,99.8555619644835,False,False,True,True,True
0x02E0E130c63930528204256C12d055C3e5a4FfB3,bsc,STARGATE LLC TOKEN,26,10000000.0,9952661.5632635,0,9874620.81489,98.74620814890001,99.21588061768766,False,False,True,True,True
0x02fC28a223705369Ee8a1fc2f42daff871C7f2Be,bsc,BNM COIN,34,14000000.0,14000000.0,2,13957977.682333712,99.69984058809793,99.69984058809793,False,False,True,True,True
0x032D019Aa91F0CFfBB41D02527c9e3c93B8815fe,bsc,Elamachain,59,1000000.0,1000000.0,0,985337.205322,98.5337205322,98.5337205322,False,False,True,True,True
0x033314e798d5673AF5df6186F8d13A14E6700f97,bsc,WAGMI,15,1000000000.0,1000000000.0,1,999366198.8370881,99.93661988370881,99.93661988370881,False,False,,,True
0x0334e8c48F05000cD22e28053EFB189e1D482381,bsc,Omega Network,36,97000000.00000001,96999999.99999999,7,83160842.30857982,85.73282712224723,85.73282712224723,False,False,,,True
0x0335e5FD6BC3BBCA14B9832d78682d557e1C3FBd,bsc,SpaceCatBSC,24,1000000000000000.0,1000000000000000.0,3,945766488014976.1,94.57664880149763,94.57664880149763,False,False,True,True,True
0x034f6d799844674b112B37AEba9505DE2e3ef4A1,bsc,ApesLFG,114,999999999999999.9,509738641654034.75,0,17761351284800.465,1.776135128480047,3.484403542012672,True,True,,,True
0x035477FF8Ce0C501d6a59760A210c4b939B9a315,bsc,BSCharactbit,200,799999999999.9999,475999453472.5615,0,151946882645.47354,18.993360330684194,31.92165065253218,True,True,,True,False
0x03548cCE1a4B0114E327c79A5046D50e39A6Aa65,bsc,Lillafagel,95,14000000.0,14000000.0,2,13529062.454493674,96.63616038924052,96.63616038924052,False,False,True,True,True
0x03988bCf96B24e167b55c86DF5E2E8AE3D6c3A98,bsc,Matrix Chain,43,10000000.0,9999999.999999998,6,8383905.200351694,83.83905200351694,83.83905200351695,False,False,False,False,True
0x03a3cDa7F684Db91536e5b36DC8e9077dC451081,bsc,Elonmoon,200,141230.75711576073,1195102882858040.5,4,863006755607367.8,611061480680.1599,72.21192149947139,False,False,,,True
0x03AF29b33c20A046Fc53674AfB009a1a0F4d5A80,bsc,Sirius Crypto Capital,31,100000000.0,100000000.0,2,96328001.962625,96.328001962625,96.328001962625,False,False,True,True,True
0x03E1D474e986B3aa7D5084F06b9056aAdBD0C183,bsc,KRAN COIN,36,12000000.0,11999999.963971205,2,11991103.382679004,99.92586152232505,99.9258618223424,False,False,True,True,True
0x03F437e4dCBa0473909d80B471aA7141b7D1d1eB,bsc,ELONYUP,200,100000000000.0,88668214788.43459,2,71749078518.42801,71.749078518428,80.91860052626951,False,False,,,True
0x03fD0277dE9795c0F23b8bFd96146C5c6B63b666,bsc,HorusCoin,200,1000000000000000.0,593179360565984.2,1,161021560795616.3,16.102156079561635,27.145509689004854,True,True,,,True
0x041164dE01b057F179aE005330Fa560E442fe364,bsc,HYCON,3,1000000.0,972255.7784902565,0,944511.556980513,94.45115569805131,97.14640713652271,False,False,True,True,True
0x0425De676d3ED3931eB9e70f7d57F893D49b84D8,bsc,COSMO CAKE,21,1000000.0,1000000.0,6,984726.9286797671,98.4726928679767,98.4726928679767,False,False,True,True,True
0x04435B1666F3Eb5888ec44b38437846e01095ca0,bsc,VALOBIT,5,1000000.0,1000000.0,0,1000000.0,100.0,100.0,False,False,True,True,True
0x044Ac54Aa258Fcb7f0E236da1a9e4899171544cB,bsc,Infamous,200,1000000000000000.0,693400702960702.8,1,349808678879578.25,34.98086788795783,50.44827289415122,True,True,,,True
0x04510a1f6cac6bA96a68091E0014C22478B2e2d4,bsc,LFG,18,1000000000.0,988539675.7540118,0,975615667.7760599,97.56156677760599,98.69261615947848,False,False,True,True,True
0x04c1245ea1DfD61CC951d08FeAdf53B0fF2F3DeC,bsc,QuantumLeapCoin,69,100000000000.0,100000000000.0,0,99999993499.80414,99.99999349980413,99.99999349980413,False,False,True,True,True
0x04c56a7339f2EF6dcBeF8E8357C87c572353F3Af,bsc,FTOT COIN,36,10000000.0,10000000.000000004,2,9968168.090092817,99.68168090092817,99.68168090092814,False,False,True,True,True
0x0559D0bcc460F610A942275c68e5d46D886cBdFA,bsc,BlueMoon,200,1000000000000000.0,500000293336257.3,0,396060439.1992209,3.960604391992209e-05,7.921204136831668e-05,True,True,,False,False
0x0590430a8CCb0E432C6380087734894Af0c4b4aa,bsc,Dumptesla,200,1000000000.0,954282825.1979017,1,655958895.4675665,65.59588954675665,68.73841571355243,True,True,,,True
0x05D3c50807219831a49d24aEA50764262faC2Ba0,bsc,NVDA,26,100000000.0,99999999.99999999,4,97187772.87371401,97.18777287371401,97.18777287371402,False,False,,,True
0x05E1Bf0AC4f7710B7e1d003bee1fe1478d3A91D2,bsc,Moon,178,1000000000000000.0,986204320920399.6,0,970700867446561.9,97.0700867446562,98.42796739529909,False,False,True,True,True
