token_address,chain,token_name,howmany_suspicious_urls,howmany_suspicious_addresses,howmany_warnings,error
0x002127Ec60f4b0F75F7AE20565D1d0cd99993dD3,bsc,ZTU COIN,2,0,0.0,
0x002A029d13f423227A24641CD5Fec448A52FEa32,bsc,Yarakat,2,0,0.0,
0x0079C34BaDa93B2ff613913Cde64E53aE6168fBa,bsc,Ninja Shiba,7,0,0.0,
0x007C5Ade505C1455a072207b0C5b9CF3Ac79B251,bsc,Battle Saga,1,0,0.0,
0x008B19CF90896BB20c4619c59Ef4c2bC55B7674e,bsc,YTOFU,2,0,0.0,
0x00a6751A376f076779dA4EE9541551b3343939dc,bsc,TERA REBOOT,2,0,0.0,
0x00c28144c95fBFA610415337dF0579FeB4860301,bsc,Baby Cat Inu,7,0,0.0,
0x00e6D2A995c7e374b360fBfd82e3f0D1cD8Ff621,bsc,Pump,0,0,0.0,
0x011728ffc1F7a0342c3c66c8aaEd28E442750FF2,bsc,GIGOSWAP,0,0,,Security analysis data not available.
0x012EB702253b59E7ea8559830D6e5406cb4D84CC,bsc,min,0,0,,Security analysis data not available.
0x013AbE3F0A299ab7d9037a1f9357a3B25037bC38,bsc,Defina Finance,0,0,,Security analysis data not available.
0x01451cb0590F1B6eb878C3d100CdE29DaE804C5B,bsc,AtromG8,0,0,,Security analysis data not available.
0x01775cFEF77271Db73F6EaA70A42AD4012D1fE64,bsc,MakiSwap,0,0,,Security analysis data not available.
0x018e70a09A6bC872558c59AF7F71eED187264614,bsc,RedPanda Earth,2,0,0.0,
0x019b75AA3A00cc6f1d4718CD6D4E9113a7b287b7,bsc,Greed Token,7,0,0.0,
0x01Df5ea271D66D00EFb3Af9dAF2e34B7d453CB7d,bsc,cyberdoge,2,0,0.0,
0x01dF71e9e09573bB8DdCB8dDd8cec74ed31A3deB,bsc,Go Invest Token,7,0,0.0,
0x02b8F1759c1A37c8806C5f171C5D92547B63d15D,bsc,SpiritSwap,0,0,,Security analysis data not available.
0x02E0E130c63930528204256C12d055C3e5a4FfB3,bsc,STARGATE LLC TOKEN,2,0,0.0,
0x02fC28a223705369Ee8a1fc2f42daff871C7f2Be,bsc,BNM COIN,2,0,0.0,
0x032D019Aa91F0CFfBB41D02527c9e3c93B8815fe,bsc,Elamachain,2,0,0.0,
0x033314e798d5673AF5df6186F8d13A14E6700f97,bsc,WAGMI,0,0,0.0,
0x0334e8c48F05000cD22e28053EFB189e1D482381,bsc,Omega Network,2,0,0.0,
0x0335e5FD6BC3BBCA14B9832d78682d557e1C3FBd,bsc,SpaceCatBSC,0,0,,Security analysis data not available.
0x034f6d799844674b112B37AEba9505DE2e3ef4A1,bsc,ApesLFG,7,0,0.0,
0x035477FF8Ce0C501d6a59760A210c4b939B9a315,bsc,BSCharactbit,0,0,0.0,
0x03548cCE1a4B0114E327c79A5046D50e39A6Aa65,bsc,Lillafagel,2,0,0.0,
0x03988bCf96B24e167b55c86DF5E2E8AE3D6c3A98,bsc,Matrix Chain,2,0,0.0,
0x03a3cDa7F684Db91536e5b36DC8e9077dC451081,bsc,Elonmoon,10,0,0.0,
0x03AF29b33c20A046Fc53674AfB009a1a0F4d5A80,bsc,Sirius Crypto Capital,2,0,0.0,
0x03E1D474e986B3aa7D5084F06b9056aAdBD0C183,bsc,KRAN COIN,2,0,0.0,
0x03F437e4dCBa0473909d80B471aA7141b7D1d1eB,bsc,ELONYUP,9,0,0.0,
0x03fD0277dE9795c0F23b8bFd96146C5c6B63b666,bsc,HorusCoin,7,0,0.0,
0x041164dE01b057F179aE005330Fa560E442fe364,bsc,HYCON,0,0,,Security analysis data not available.
0x0425De676d3ED3931eB9e70f7d57F893D49b84D8,bsc,COSMO CAKE,2,0,0.0,
0x04435B1666F3Eb5888ec44b38437846e01095ca0,bsc,VALOBIT,0,0,,Security analysis data not available.
0x044Ac54Aa258Fcb7f0E236da1a9e4899171544cB,bsc,Infamous,8,0,0.0,
0x04510a1f6cac6bA96a68091E0014C22478B2e2d4,bsc,LFG,0,0,,Security analysis data not available.
0x04c1245ea1DfD61CC951d08FeAdf53B0fF2F3DeC,bsc,QuantumLeapCoin,0,0,,Security analysis data not available.
0x04c56a7339f2EF6dcBeF8E8357C87c572353F3Af,bsc,FTOT COIN,2,0,0.0,
0x0559D0bcc460F610A942275c68e5d46D886cBdFA,bsc,BlueMoon,3,0,0.0,
0x0590430a8CCb0E432C6380087734894Af0c4b4aa,bsc,Dumptesla,0,0,0.0,
0x05D3c50807219831a49d24aEA50764262faC2Ba0,bsc,NVDA,2,0,0.0,
0x05E1Bf0AC4f7710B7e1d003bee1fe1478d3A91D2,bsc,Moon,7,0,0.0,
0x05Eb12492D274aF31CaCAe27EE73Cbab5406b923,bsc,Snowy Dog,1,0,0.0,
0x0606470EBaf2fe41Db4d709a72F0cc93e1e1428c,bsc,BAO Finance,2,0,0.0,
0x06185Ac680738Ef1A24152953A129293E4Dd405E,bsc,CULT DAO,2,0,0.0,
0x062f8B9Bd5f0c84c46f82b9DDe0Ab486D9a2bcBe,bsc,Whatcher.Guru,0,0,,Security analysis data not available.
0x064DB697061374baB55715C905CAeA17F8FF5565,bsc,Sun Flare,0,0,,Security analysis data not available.
0x06672D847F95844843eF6428c336AE6465614446,bsc,SWR COIN,2,0,0.0,
0x06706f17bCFf58a432469aeA9314Eecf710FF133,bsc,ARDI CAPITAL,0,0,,Security analysis data not available.
0x069b4416d0224c04E9152EB6Cf327dB296aa06dB,bsc,Grandc,2,0,0.0,
0x069d6d2b8311B70456e1F490331940DB7911aD0C,bsc,RisefinityNFT,7,0,0.0,
0x06E95E2beC316645C7b32eFd56FE51C4225A3aEd,bsc,GPTVerse,2,0,0.0,
0x06f782BFA57dFC8d8008fCE787265E3D2BfC1ff0,bsc,safeEarth,0,0,,Security analysis data not available.
0x06fe91B34f2479cFAD2D4580fC27B4CB6c871649,bsc,Tenkle Set,0,0,,Security analysis data not available.
0x0701Fb07D8B76f5Afcb4FCB842089BE8dE8c5316,bsc,Laugh Doge,7,0,0.0,
0x071E414D0C2F5dDA07fAd6376131eD27ce05f31e,bsc,BassTrayt,0,0,,Security analysis data not available.
0x0727C50b729C2a58a3E2EAC3eD9D2848f5d1F7dC,bsc,Wownero,2,0,0.0,
0x0739939cb8b760bfA4209eEB9D94b2E0e3fa4AF1,bsc,RealmOfBinance,7,0,0.0,
0x074A43099fE214FfF1eE1D4edC322633663E90bE,bsc,Tiger Global,0,0,,Security analysis data not available.
0x0754d72A84565dA95012613Afc752eEd49AAEd53,bsc,Jail Kwon,0,0,0.0,
0x0757FD09e673742ee5405711d4A202dd33b1e00d,bsc,GoChain,2,0,0.0,
0x07661e4F70BAc7555F2cB5d11faf71127c1bAba6,bsc,McSickie,7,0,0.0,
0x076cc37DD785eddeFdb9B873C74e67748F346969,bsc,MaziMatic,2,0,0.0,
0x076D1c2Df8401248B141673765bbF0D11d0545A6,bsc,Blue Energy Web,0,0,,Security analysis data not available.
0x0777D71A2F0011313F8C3001Ba7F4A128f1c45f8,bsc,Silicondai,0,0,0.0,
0x0788D570a89438d233f8D04A3bb81C5D3D7f04c1,bsc,Hype Beast,0,0,,Security analysis data not available.
0x078C237eAEE9B73E8c8dfC56B42ACA716A84837d,bsc,Jump Coin,0,0,,Security analysis data not available.
0x07A944BAed0BAfC237A832a5c7EE3189042CCCCC,bsc,Stormwill Coin,0,0,,Security analysis data not available.
0x07aD7662A73c4e04fB56B260229B824058D22e61,bsc,Latmigbara,2,0,0.0,
0x07adE876705F3a4aA9ccFd50a42944561473994D,bsc,Serantain,0,0,,Security analysis data not available.
0x07CE84Cc41164eF0Fec335aCeb60DD351434f7cC,bsc,Spartan Protocol Token,0,0,0.0,
0x0823AEcB584cb1aaAdfBEf43108e094cE8d11E06,bsc,CookPepe,0,0,0.0,
0x085c0a1E7D76f3E11C7b2d9C2F20F0DfFcC7f11E,bsc,Crown Sterling,2,0,0.0,
0x0891f9958c690e1bcd2164B9435892A21Ef8288b,bsc,Halv Tech Token,0,0,,Security analysis data not available.
0x0899726ad4BE4dC406A4721cFb6fb5b1F7cFcAa7,bsc,Sir Floki,1,0,0.0,
0x08b0871123876935BE7680c1Fc238486e566EB3e,bsc,FLYINGSHIBA,7,0,0.0,
0x08bF2cBABfe68592DCbe9352f2EE670D5794858e,bsc,Football World,0,0,0.0,
0x090f6681409E681e3f6924440C1FBaA70f365FA0,bsc,CYBER TRON,7,0,0.0,
0x0915F195b6782cd84D34aE8f277E23218F0AFcdB,bsc,Storm Empire,0,0,,Security analysis data not available.
0x0918D6E11a292182B209B3b25245217218DCCFFA,bsc,AntiElonToken,7,0,0.0,
0x0925Efc85F3c2eeE63380F0191ae41a337B380D5,bsc,ReddCoin,2,0,0.0,
