token_address,chain,token_name,contract_name,verified,owner,creator,is_hidden_owner,is_proxy,is_sellable,is_hardcoded_owner,has_source_code,has_abi,total_snippets,honeypot_mechanics_number,minting_mechanics_number,ownership_manipulation_number,transfer_blocking_number,stealth_fee_mechanics_number,liquidity_manipulation_number,router_manipulation_number,balance_manipulation_number,anti_analysis_features_number,block_based_restrictions_number,emergency_functions_number
0x00000000051b48047be6dc0ada6de5c3de86a588,eth,Baby Shiba Inu,BabyShibaInu,True,0x0000000000000000000000000000000000000000,0xcd6411316f2f5ee8a0e15eb45c4891bdd850d2d0,False,False,True,False,True,True,2,0,1,0,1,0,0,0,0,0,0,0
0x0000000000c5dc95539589fbd24be07c6c14eca4,eth,Milady Cult Coin,Cult,True,0xd5cd18d3cb65fdab15076618401ff79097f9d780,0x1ec7e0b7cd1a79a4afb873aeffe50ddca6446563,False,False,True,False,True,True,12,10,2,0,0,0,0,0,0,0,0,0
0x0018d5e01e53878f90feab02f1b2019a21adf8b1,eth,Shadowcats,shadowcats,True,0x0000000000000000000000000000000000000000,0x26af6ecad7c4f403c6f8c670ca2829fc345cbcf8,False,False,True,False,True,True,3,0,2,0,1,0,0,0,0,0,0,0
0x0026dfbd8dbb6f8d0c88303cc1b1596409fda542,eth,SANSHU!,SANSHU,True,,0x16a4c8ac5086bc1428fb9c2681e2e10ab89f4625,True,False,True,False,True,True,4,0,4,0,0,0,0,0,0,0,0,0
0x004f747a91e05d0e2fbe8bf3cd39cdb2bcfab02c,eth,TWEET,TweetMoney,True,0xb3fa4378318dff382dfc49622bbd45fa2e87671b,0xb3fa4378318dff382dfc49622bbd45fa2e87671b,False,False,True,False,True,True,0,0,0,0,0,0,0,0,0,0,0,0
0x005e6fd1610302018dcd9caf29b8bc38ff6efd98,eth,Metafox,FOX,True,0x0000000000000000000000000000000000000000,0x53abdd0bc91cb96dadebd60c17bf97332ee4e15b,False,False,True,False,True,True,1,0,0,0,0,0,0,0,0,0,1,0
0x00869e8e2e0343edd11314e6ccb0d78d51547ee5,eth,SuperGrok,Token,True,,0x19c89c76270fd64b64ff6fff8edb62ce9407511a,True,False,False,False,True,True,1,0,1,0,0,0,0,0,0,0,0,0
0x00e1656e45f18ec6747f5a8496fd39b50b38396d,bsc,Bomber Coin,BCoinToken,True,0x050f559cd756ca09fc46988b6cf19ebf01256268,0x050f559cd756ca09fc46988b6cf19ebf01256268,False,False,True,False,True,True,3,0,3,0,0,0,0,0,0,0,0,0
0x00f71afe867b2dbd2ad4ba14fd139bc6bc659ccd,bsc,XOXO Monkey,XOXO,True,0x0000000000000000000000000000000000000000,0x3867841205346a1cdc35b64f7ece8c72f49e858c,False,False,True,False,True,True,2,0,2,0,0,0,0,0,0,0,0,0
0x0138f5e99cfdffbacf36e543800c19ef16fa294b,eth,Prophet,ProphetToken,True,0x4c6f89dc7edcd9432612bca530da5b36619c512d,0x3612ad7f98238734e0698cdead88071f10f2ad7b,False,False,True,False,True,True,2,0,2,0,0,0,0,0,0,0,0,0
0x016cf83732f1468150d87dcc5bdf67730b3934d3,bsc,AirNFT Token,AirNFTToken,True,,0x2841fa05dd7f32722d7700823df5c3f9ca3a3a6f,True,False,True,False,True,True,2,0,2,0,0,0,0,0,0,0,0,0
0x0231f91e02debd20345ae8ab7d71a41f8e140ce7,bsc,BSC Wrapped Jupiter,Jupiter,True,,0xb0389ad57f5dde1cc3378630eec2735c78be5cb6,True,False,True,False,True,True,0,0,0,0,0,0,0,0,0,0,0,0
0x0255af6c9f86f6b0543357bacefa262a2664f80f,bsc,Immutable,ImmutableToken,True,0xb712871ab01f1d66a1fe44f277253f6ee0d4ee31,0x45aa6947f449334199e1c3a915a931067bc26257,False,False,True,False,True,True,0,0,0,0,0,0,0,0,0,0,0,0
