token_address,chain,token_name,total_holders,total_supply,total_circulating_supply,howmany_holders_exceeding_5_percent_circulating,total_top_10_balance,top10_percentage_of_total_supply,top10_percentage_of_circulating_supply,top_10_less_than_70_percent_of_total,top_10_less_than_70_percent_of_circulating,owner_exceeds_5_percent_circulating,creator_exceeds_5_percent_circulating,owner_is_creator
0x00000000051b48047be6dc0ada6de5c3de86a588,eth,Baby Shiba Inu,200,420000000.0,381354350.7683896,2,182650097.09062862,43.48811835491157,47.895112963207986,True,True,,,True
0x0000000000c5dc95539589fbd24be07c6c14eca4,eth,Milady Cult Coin,200,99999999999.99998,4.5832294420822145e-08,200,67711057807.4597,67.71105780745971,1.477365658060919e+20,True,False,,,True
0x0018d5e01e53878f90feab02f1b2019a21adf8b1,eth,Shadowcats,200,1000000.0,997997.826206658,1,661568.8415388466,66.15688415388465,66.28960746872947,True,True,,,True
0x0026dfbd8dbb6f8d0c88303cc1b1596409fda542,eth,SANSHU!,200,1000000000.0,1e-09,199,925491367.3187535,92.54913673187535,9.254913673187534e+19,False,False,,True,False
0x004f747a91e05d0e2fbe8bf3cd39cdb2bcfab02c,eth,TWEET,200,10000000.0,0.0,0,4804181.038336626,48.041810383366254,0.0,True,True,,,True
0x005e6fd1610302018dcd9caf29b8bc38ff6efd98,eth,Metafox,200,10000000000.0,10.0,200,1243174902.34474,12.431749023447399,12431749023.4474,True,False,,,True
0x00869e8e2e0343edd11314e6ccb0d78d51547ee5,eth,SuperGrok,200,1000000000.0,1e-09,199,286963583.5222908,28.696358352229083,2.8696358352229085e+19,True,False,,True,False
0x00e1656e45f18ec6747f5a8496fd39b50b38396d,bsc,Bomber Coin,200,99064205.33233333,8.772050458233329e-11,200,56921956.42958162,57.45966087208192,6.489013794506327e+19,True,False,,,True
0x00f71afe867b2dbd2ad4ba14fd139bc6bc659ccd,bsc,XOXO Monkey,200,954324533.9619232,2.1472770691882095e-10,200,907601765.5286951,95.10410067325249,4.226756661038714e+20,False,False,,,True
0x0138f5e99cfdffbacf36e543800c19ef16fa294b,eth,Prophet,200,1200000.0,0.0,0,1009140.2354682806,84.09501962235672,0.0,False,True,,,True
0x016cf83732f1468150d87dcc5bdf67730b3934d3,bsc,AirNFT Token,200,1000000000.0,0.0,0,699546891.615939,69.95468916159389,0.0,True,True,,,True
0x0231f91e02debd20345ae8ab7d71a41f8e140ce7,bsc,BSC Wrapped Jupiter,200,1000000000.0,1e-09,200,330428993.85684025,33.042899385684024,3.3042899385684025e+19,True,False,,,True
0x0255af6c9f86f6b0543357bacefa262a2664f80f,bsc,Immutable,200,42000000.0,0.0,0,34505465.87165183,82.15587112298054,0.0,False,True,,,True
0x0288d3e353fe2299f11ea2c2e1696b4a648ecc07,bsc,ZCore Finance,200,22371840.65054442,0.0,0,11826232.254925508,52.86213342771022,0.0,True,True,False,False,False
0x02a40c048ee2607b5f5606e445cfc3633fb20b58,bsc,Kaby Arena,200,263037653.7858943,0.0,0,176846410.2776592,67.23235541844039,0.0,True,True,,,True
0x02ff5065692783374947393723dba9599e59f591,bsc,YOOSHI,200,1000000000000000.0,0.0,0,283006611496629.1,28.300661149662908,0.0,True,True,,,True
0x033bbde722ea3cdcec73cffea6581df9f9c257de,eth,Velar,200,1000000000.0,330.690228920179,200,806666675.054343,80.6666675054343,243934233.46326137,False,False,,,True
0x037838b556d9c9d654148a284682c55bb5f56ef4,bsc,Lightning,200,100000000.0,0.0,0,85196048.78478837,85.19604878478836,0.0,False,True,False,False,True
0x038a68ff68c393373ec894015816e33ad41bd564,eth,Glitch,200,88888888.0,7.014071161081402e-11,200,68770086.58728354,77.36634818435746,9.804589233263614e+19,False,False,,,True
0x0391be54e72f7e001f6bbc331777710b4f2999ef,bsc,TravaFinance Token,200,4745402992.914395,4.292382280520492e-09,200,3538274044.905862,74.56214045865104,8.243147542946275e+19,False,False,,,True
0x03ff0ff224f904be3118461335064bb48df47938,bsc,Harmony ONE,200,50337945.5213128,0.0,0,10006510.257509261,19.878662416352615,0.0,True,True,,,True
0x04baf95fd4c52fd09a56d840baee0ab8d7357bf0,bsc,BigONE Token,200,3000000000.0,0.0,0,2963157076.2148485,98.77190254049495,0.0,False,True,,,True
0x04c154b66cb340f3ae24111cc767e0184ed00cc6,eth,Pirex Ether,200,22881.67837448401,0.0,0,22692.246209567522,99.17212294563265,0.0,False,True,False,False,False
0x04c747b40be4d535fc83d09939fb0f626f32800b,bsc,ITAM,200,501430609.47191316,0.0,0,496525475.5780002,99.02177214528668,0.0,False,True,,,True
0x053708a5bc7f1627ddc87e780ee381cf1e31f765,bsc,velaai,200,1000000000.0,0.0,0,948444060.3748287,94.84440603748287,0.0,False,True,,,True
0x055999b83f9cade9e3988a0f34ef72817566800d,eth,RTB,200,1000000000.0,5.48487339e-10,200,937447677.844254,93.74476778442539,1.709150988887738e+20,False,False,,,True
0x0565805ca3a4105faee51983b0bd8ffb5ce1455c,bsc,BlockchainSpace [via ChainPort.io],200,68903781.87259468,4.5549281349321496e-10,200,63482993.54435764,92.1328145118939,1.393721078879399e+19,False,False,,,True
