token_address,chain,token_name,contract_name,verified,owner,creator,is_hidden_owner,is_proxy,is_sellable,is_hardcoded_owner,has_source_code,has_abi,total_snippets,mint_function_detected_number,ownership_renounced_number,is_honeypot_suspected_number,delayed_trading_detected_number,transfer_cooldown_detected_number,high_tax_detected_number,blacklist_or_whitelist_detected_number,trading_disabled_possible_number,other_suspicious_detected_number
0x0a4DC3AC9426e1c85db6b618de48a2bBdd596C4e,bsc,Demon,Demon,True,0x000000000000000000000000000000000000dead,0x92f5d009aa095e815deeceb6c469d30df621b79a,False,False,True,False,True,True,49,5,2,3,0,0,39,0,0,0
0x00a6751A376f076779dA4EE9541551b3343939dc,bsc,TERA REBOOT,SpecialToken,True,0x55aab32c0510480781ab820e8ac1169f18b2cc32,0x55aab32c0510480781ab820e8ac1169f18b2cc32,False,False,True,False,True,True,0,0,0,0,0,0,0,0,0,0
0x0aA8e59a6329AEBB991357140d0eE72BE0a974fE,bsc,Zloadr,TestToken,True,0x573c65938aae7799a7c4a4092f5eb58630445b55,0x573c65938aae7799a7c4a4092f5eb58630445b55,False,False,True,False,True,True,19,0,1,0,0,0,15,3,0,0
0x0aAbF08760528De1ccBeB498525af25eD86C702c,bsc,Bad Moon,,False,0x24401becda6bd1918ff7248184175791f096166b,0x24401becda6bd1918ff7248184175791f096166b,False,,True,,False,False,0,0,0,0,0,0,0,0,0,0
0x0AdA00eD9F2caa91b4bEb812Fd64a16aE5569C9B,bsc,House of Dragmoon,TARGARYEN,True,,0x4e388868416afbbbb7546ef0c998a5d6b087ac8c,True,False,True,False,True,True,27,1,1,0,2,0,23,0,0,0
0x0Af8ca33916D42362e115416BFc432e46558d04f,bsc,SpaceChain,TestToken,True,0x0c51b26e6e59dd8f0194b35aedae34d79bc105db,0x0c51b26e6e59dd8f0194b35aedae34d79bc105db,False,False,True,False,True,True,19,0,1,0,0,0,15,3,0,0
0x0B9fb7FeF33610958795AAaa80b5D5927763e51d,bsc,Jigstack,,False,0x60c1b89cebe454a8e7086fabb5f5e13482356c5f,0x60c1b89cebe454a8e7086fabb5f5e13482356c5f,False,,True,,False,False,0,0,0,0,0,0,0,0,0,0
0x0B931CaD9077f3Bb9f6F8aa513626D30da8F2202,bsc,GROVE FINANCE,,False,0xbec40093073ed109365c3e52872c8c25e36b61eb,0xbec40093073ed109365c3e52872c8c25e36b61eb,False,,True,,False,False,0,0,0,0,0,0,0,0,0,0
0x0bACCfC5e1dF9cE989260C9F7c4c36352B790B97,bsc,Expert Infra,ERC20Token,True,0xaa401c88979c2d2032a5ce8d397d9b8b11cbef21,0xaa401c88979c2d2032a5ce8d397d9b8b11cbef21,False,False,True,False,True,True,9,1,2,0,0,0,0,6,0,0
0x0bd238620140D0cfE72aeC632c0b3b30217AAD50,bsc,Lanstar,Token,True,0x6a81f10af42d59c97ed5e19e0ae41c8c405a85ad,0x6a81f10af42d59c97ed5e19e0ae41c8c405a85ad,False,False,True,False,True,True,3,1,1,0,0,0,0,1,0,0
