token_address,chain,token_name,total_holders,total_supply,total_circulating_supply,howmany_holders_exceeding_5_percent,total_top_10_balance,top10_percentage_of_total_supply,top10_percentage_of_circulating_supply,top_10_less_than_70_percent_of_total,top_10_less_than_70_percent_of_circulating
0x002127Ec60f4b0F75F7AE20565D1d0cd99993dD3,bsc,ZTU COIN,36,8000000000000000000000000,8000000000000000008419754,3,7951737068109049293176832,99.39671335136312,99.39671335136312,False,False
0x002A029d13f423227A24641CD5Fec448A52FEa32,bsc,Yarakat,118,13000000000000000000000000,12999999999999999771872777,4,12098573738648872798912512,93.06595183576056,93.06595183576056,False,False
0x0079C34BaDa93B2ff613913Cde64E53aE6168fBa,bsc,Ninja Shiba,21,1000000000000000000000000,594909465653197848247505,1,188678181404376268668928,18.867818140437624,31.715444499981466,True,True
0x007C5Ade505C1455a072207b0C5b9CF3Ac79B251,bsc,Battle Saga,24,10000000000000000000000000,9999999990992800934488760,1,9993139411271771910832128,99.93139411271773,99.93139420272792,False,False
0x008B19CF90896BB20c4619c59Ef4c2bC55B7674e,bsc,YTOFU,37,100000000000000000000000,99999999999999999739552,4,87545928309719460741120,87.54592830971946,87.54592830971946,False,False
0x00a6751A376f076779dA4EE9541551b3343939dc,bsc,TERA REBOOT,31,780000000000000000000000000,779999999999999988864444416,5,703754235319993145447415808,90.22490196410169,90.22490196410169,False,False
0x00c28144c95fBFA610415337dF0579FeB4860301,bsc,Baby Cat Inu,13,1000000000000000000000000,986421071264628970910480,1,972842081183814529482752,97.28420811838146,98.62340835203311,False,False
0x00e6D2A995c7e374b360fBfd82e3f0D1cD8Ff621,bsc,Pump,29,21000000000000000000000000000000,21000000000000000821736038566262,1,20999973239625283100144964730880,99.99987256964421,99.9998725696442,False,False
0x011728ffc1F7a0342c3c66c8aaEd28E442750FF2,bsc,GIGOSWAP,2,1000000000000000,1000000000000001,1,1000000000000003,100.00000000000031,100.0000000000002,False,False
0x012EB702253b59E7ea8559830D6e5406cb4D84CC,bsc,min,4,1000000000000000000,1000000000000000026,2,1000000000000000053,100.0,100.0,False,False
0x013AbE3F0A299ab7d9037a1f9357a3B25037bC38,bsc,Defina Finance,35,1000000000000,1000000000000,1,995551762440,99.555176244,99.555176244,False,False
0x01451cb0590F1B6eb878C3d100CdE29DaE804C5B,bsc,AtromG8,2,1000000000000000,1000000000000002,1,1000000000000004,100.0000000000004,100.0000000000002,False,False
0x01775cFEF77271Db73F6EaA70A42AD4012D1fE64,bsc,MakiSwap,2,1000000000000000,967913198519186,1,935826397038372,93.5826397038372,96.68495051726708,False,False
0x018e70a09A6bC872558c59AF7F71eED187264614,bsc,RedPanda Earth,23,10000000000000,10000000000000,1,9989345814265,99.89345814265,99.89345814265,False,False
0x019b75AA3A00cc6f1d4718CD6D4E9113a7b287b7,bsc,Greed Token,64,1000000000000000000000000,536924404592738241646226,1,69823673742041570738176,6.982367374204157,13.004376993257258,True,True
0x01Df5ea271D66D00EFb3Af9dAF2e34B7d453CB7d,bsc,cyberdoge,42,6561000000000000000000000000000,6560999999999999954399846941440,6,5500549566936370902136283725824,83.83706091962156,83.83706091962156,False,False
0x01dF71e9e09573bB8DdCB8dDd8cec74ed31A3deB,bsc,Go Invest Token,98,10000000000000000000,9992450870961930425,1,9902078498775276220,99.02078498775276,99.09559353001899,False,False
0x02b8F1759c1A37c8806C5f171C5D92547B63d15D,bsc,SpiritSwap,20,1000000000000000,1000000000000000,1,998555619644835,99.8555619644835,99.8555619644835,False,False
0x02E0E130c63930528204256C12d055C3e5a4FfB3,bsc,STARGATE LLC TOKEN,26,10000000000000,9952661563263,1,9874620814890,98.74620814890001,99.21588061769265,False,False
0x02fC28a223705369Ee8a1fc2f42daff871C7f2Be,bsc,BNM COIN,34,14000000000000000000000000,13999999999999999988626338,3,13957977682333713695768576,99.69984058809796,99.69984058809796,False,False
0x032D019Aa91F0CFfBB41D02527c9e3c93B8815fe,bsc,Elamachain,59,1000000000000,1000000000000,1,985337205322,98.5337205322,98.5337205322,False,False
